1,Typeform,https://www.typeform.com/?ref=sansfrancis.co,"Typeform is an elegant, feature-rich survey tool."
2,Cassette,http://www.cassette.design/?ref=sansfrancis.co,"Cassette is a digital logbook to help you ""record, transcribe, and bookmark key moments in user interviews."""
3,Optimal Workshop,https://www.optimalworkshop.com/?ref=sansfrancis.co,"Optimal Workshop offers a suite of UX tools that help improve your website navigation, define information architecture, understand first-clicks, run surveys and capture qualitative research."
4,Testmate,https://www.testmate.co/?ref=sansfrancis.co,Testmate is a tool that saves you and your team time by automating the logistics of user research interviews.
5,Doopoll,http://doopoll.co/?ref=sansfrancis.co,Doopoll is a poll tool to help you gather quick feedback from users.
6,UserTesting,https://www.usertesting.com/c?ref=sansfrancis.co,"UserTesting allows you to recruit users and run remove, video-recorded usability tests."
7,Lookback,https://lookback.io/?ref=sansfrancis.co,"Lookback allows you to run user tests while remotely recording the screen, the user's face and voice, and their in-app interactions."
8,UX Check,http://www.uxcheck.co/#?ref=sansfrancis.co,UX Check is a Chrome extension that checks for elements on a website that break any of Jakob Nielson's Ten Heuristics.
9,TestingTime,https://www.testingtime.com/en?ref=sansfrancis.co,"TestingTime makes user tests easier to run by helping with recruitment, scheduling, payment, and more."
10,Usabili.me,https://usabili.me/?ref=sansfrancis.co,"Usabili.me is a screensharing, note taking, and recording tool to help you run remote user research."
11,Sprint,https://sprint.dscout.com/app/products?ref=sansfrancis.co,"Sprint is a lightweight tool to help you get quick feedback on a new prototype, app, or website. Use code ""SansFrancisco"" for a free 10-person test ($250 value)."
12,FullStory,https://www.fullstory.com/?ref=sansfrancis.co,"FullStory lets you easily record, replay, search, and analyze each user's actual experience with your website."
13,Dovetail,https://getdovetail.io/?ref=sansfrancis.co,"Dovetail helps collect user insights by sending simple, contextual questions via SMS or email."
14,Ethnio,https://ethn.io/?ref=sansfrancis.co,Ethnio intercepts users visiting your site or app and allows them to schedule an interview with you!
15,User Interviews,http://www.userinterviews.com/?ref=sansfrancis.co,User Interviews helps you screen and recruit users for any sort of qualitative research exercise.
16,Usability Hub,https://usabilityhub.com/?ref=sansfrancis.co,Usability Hub allows you to run simple user tests to get quick data on a design.
17,UserBrain,https://userbrain.net/?ref=sansfrancis.co,UserBrain is a service that sends weekly videos of users using your app or website.
18,Narrative Clip,http://getnarrative.com/?ref=sansfrancis.co,Narrative Clip is a small wearable camera that easily clips onto clothing; ideal for participants willing to log a day in their life.
19,Crowdtap,http://corp.crowdtap.com/?ref=sansfrancis.co,"Crowdtap is a platform for consumers to share their ideas, opinions, and stories with the brands they love."
20,Google Fonts,https://www.google.com/fonts?ref=sansfrancis.co,Google Fonts is a safe bet when shopping for project fonts. Download font families to use in design files or grab scripts to toss into your code.
21,TypeKit,https://typekit.com/fonts?ref=sansfrancis.co,"If you have an Adobe CC license, TypeKit offers access to a whole bunch of premium fonts."
22,Font Squirrel,https://www.fontsquirrel.com/?ref=sansfrancis.co,Font Squirrel offers a database of all the free fonts your little heart could possibly desire.
23,Type Nugget,http://www.typenugget.com/?ref=sansfrancis.co,Type Nugget is a WYSIWYG editor for web typography CSS.
24,What the Font,https://www.myfonts.com/WhatTheFont/?ref=sansfrancis.co,What the Font helps you identify a mystery font by scanning a file that have so generously uploaded.
